Country,Year,Production,Unit,Commodity,Source,iso3
Brunei,1973,1.8968625,billion cubic metres,gas,Energy Institute Statistical Review,BRN
China,1973,6.027040314650933,billion cubic metres,gas,Energy Institute Statistical Review,CHN
India,1973,0.733665625,billion cubic metres,gas,Energy Institute Statistical Review,IND
Indonesia,1973,1.74783,billion cubic metres,gas,Energy Institute Statistical Review,IDN
Malaysia,1973,0.11605093980175121,billion cubic metres,gas,Energy Institute Statistical Review,MYS
Myanmar,1973,0.018421875,billion cubic metres,gas,Energy Institute Statistical Review,MMR
Pakistan,1973,3.195545,billion cubic metres,gas,Energy Institute Statistical Review,PAK
Thailand,1973,0.0,billion cubic metres,gas,Energy Institute Statistical Review,THA
Vietnam,1973,0.0,billion cubic metres,gas,Energy Institute Statistical Review,VNM
Canada,1974,69.95541,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1974,12.926203036598375,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1974,559.4471904292209,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1974,7.048680000000002,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Bolivia,1974,1.8014870000000003,billion cubic metres,gas,Energy Institute Statistical Review,BOL
Brazil,1974,0.3862446504424778,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Colombia,1974,1.7125500000000002,billion cubic metres,gas,Energy Institute Statistical Review,COL
Peru,1974,0.46007500000000007,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1974,1.689975,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1974,10.732590000000002,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Denmark,1974,0.0,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Germany,1974,20.603699999999996,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Italy,1974,14.64845,billion cubic metres,gas,Energy Institute Statistical Review,ITA
Netherlands,1974,74.16666666666667,billion cubic metres,gas,Energy Institute Statistical Review,NLD
Norway,1974,0.0,billion cubic metres,gas,Energy Institute Statistical Review,NOR
Poland,1974,5.483525,billion cubic metres,gas,Energy Institute Statistical Review,POL
Romania,1974,25.97159135,billion cubic metres,gas,Energy Institute Statistical Review,ROU
Ukraine,1974,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UKR
United Kingdom,1974,34.38060600000001,billion cubic metres,gas,Energy Institute Statistical Review,GBR
Azerbaijan,1974,0.0,billion cubic metres,gas,Energy Institute Statistical Review,AZE
Kazakhstan,1974,0.0,billion cubic metres,gas,Energy Institute Statistical Review,KAZ
Russian Federation,1974,0.0,billion cubic metres,gas,Energy Institute Statistical Review,RUS
Turkmenistan,1974,0.0,billion cubic metres,gas,Energy Institute Statistical Review,TKM
Uzbekistan,1974,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UZB
Bahrain,1974,2.0678140000000003,billion cubic metres,gas,Energy Institute Statistical Review,BHR
Iran,1974,13.072009240069246,billion cubic metres,gas,Energy Institute Statistical Review,IRN
Iraq,1974,0.7941999999999999,billion cubic metres,gas,Energy Institute Statistical Review,IRQ
Israel,1974,0.06269911624606533,billion cubic metres,gas,Energy Institute Statistical Review,ISR
Kuwait,1974,2.78445,billion cubic metres,gas,Energy Institute Statistical Review,KWT
Oman,1974,0.0,billion cubic metres,gas,Energy Institute Statistical Review,OMN
Qatar,1974,1.3434300000000001,billion cubic metres,gas,Energy Institute Statistical Review,QAT
Saudi Arabia,1974,2.1641000000000004,billion cubic metres,gas,Energy Institute Statistical Review,SAU
Syria,1974,0.0,billion cubic metres,gas,Energy Institute Statistical Review,SYR
United Arab Emirates,1974,1.69455,billion cubic metres,gas,Energy Institute Statistical Review,ARE
Algeria,1974,4.9963375,billion cubic metres,gas,Energy Institute Statistical Review,DZA
Egypt,1974,0.05775,billion cubic metres,gas,Energy Institute Statistical Review,EGY
Libya,1974,3.87125,billion cubic metres,gas,Energy Institute Statistical Review,LBY
Nigeria,1974,0.3743,billion cubic metres,gas,Energy Institute Statistical Review,NGA
Australia,1974,5.37019902,billion cubic metres,gas,Energy Institute Statistical Review,AUS
Bangladesh,1974,0.68145,billion cubic metres,gas,Energy Institute Statistical Review,BGD
Brunei,1974,4.117425,billion cubic metres,gas,Energy Institute Statistical Review,BRN
China,1974,7.589233038348081,billion cubic metres,gas,Energy Institute Statistical Review,CHN
India,1974,0.8303968750000001,billion cubic metres,gas,Energy Institute Statistical Review,IND
Indonesia,1974,1.8046700000000002,billion cubic metres,gas,Energy Institute Statistical Review,IDN
Malaysia,1974,0.24192625470124782,billion cubic metres,gas,Energy Institute Statistical Review,MYS
Myanmar,1974,0.164814375,billion cubic metres,gas,Energy Institute Statistical Review,MMR
Pakistan,1974,3.664815,billion cubic metres,gas,Energy Institute Statistical Review,PAK
Thailand,1974,0.0,billion cubic metres,gas,Energy Institute Statistical Review,THA
